client_id,contract_count,contract_value,collected,any_contract_case_number,any_contract_status,any_contract_delinquency
0009ff78-a49a-4cb6-afa5-3973347c5995,0,NULL,0,NULL,NULL,NULL
00156889-33db-4ed5-9103-6ef146bbf283,0,NULL,0,NULL,NULL,NULL
0017531b-0831-4dd2-b17e-768130ea0fc2,0,NULL,0,NULL,NULL,NULL
002750b0-0c0a-4299-a876-a75421e7098c,0,NULL,0,NULL,NULL,NULL
0034f6a9-7c8a-4d9f-90c8-6f8ba90f77ea,0,NULL,0,NULL,NULL,NULL
003584e1-e972-487a-a8df-ad0e71ddcd1e,0,NULL,0,NULL,NULL,NULL
004acfcc-c364-44b9-8938-54aff821abe0,0,NULL,0,NULL,NULL,NULL
005baad8-878d-4c34-9e9e-3f6f861d0251,0,NULL,0,NULL,NULL,NULL
0062648c-b2c2-44d9-97bc-75559aa4fb17,0,NULL,0,NULL,NULL,NULL
006d5751-9497-4778-956b-6d5ecde9d5b1,0,NULL,0,NULL,NULL,NULL
006e6e6b-c6cd-4d4b-b4bf-5b85e54f84b2,0,NULL,0,NULL,NULL,NULL
007d4efb-6e30-492c-bc29-f2d3f5e19805,0,NULL,0,NULL,NULL,NULL
007f8d75-61b1-4756-b2c9-068779010433,0,NULL,0,NULL,NULL,NULL
00911887-d761-4ed0-8a72-aacf70b32cd0,0,NULL,0,NULL,NULL,NULL
0094477b-1810-4162-83b1-5cb6e3080275,0,NULL,0,NULL,NULL,NULL
00bd6778-3dce-4544-bb6c-fe1f141e8c40,0,NULL,0,NULL,NULL,NULL
00bd811c-a287-4fb9-afeb-b9ae9b937b20,0,NULL,0,NULL,NULL,NULL
00c7b353-439a-4273-88f7-5e261329db0d,0,NULL,0,NULL,NULL,NULL
00c878dd-84e6-49f8-a4bf-78665f0c7da5,0,NULL,0,NULL,NULL,NULL
00cce621-8888-4aa1-b24f-15ad1c049d5f,0,NULL,0,NULL,NULL,NULL
00df165b-6cc2-46e1-ba7e-0f352edd521e,0,NULL,0,NULL,NULL,NULL
00f3da99-2d10-4cc8-a64e-6486f3a37f73,1,13000.00,3944.44,NULL,Active,Current
00f56953-de63-4a37-8c42-fcc33d630bbe,0,NULL,0,NULL,NULL,NULL
01290327-b4d4-4fe9-b098-1302da4ca6da,0,NULL,0,NULL,NULL,NULL
013d6a2b-9c86-4376-ac9f-5df339a938d2,0,NULL,0,NULL,NULL,NULL
014869a9-f354-4ec6-a708-c9bd0312ac41,0,NULL,0,NULL,NULL,NULL
014ad73e-f89a-4191-8675-ece9117d2d69,0,NULL,0,NULL,NULL,NULL
0152ee67-8d42-41f1-bc43-e41b23931b85,0,NULL,0,NULL,NULL,NULL
0167de6f-c3ab-4850-b775-cc4b40531c20,0,NULL,0,NULL,NULL,NULL
019cc9e7-68be-4a03-a7bc-38916aef5681,0,NULL,0,NULL,NULL,NULL
01a2de37-d5e1-459e-9145-047818ce73ac,0,NULL,0,NULL,NULL,NULL
01b81067-a359-496d-851a-03fa6597527d,0,NULL,0,NULL,NULL,NULL
01bed356-35d0-4efa-a93b-5e8c7ed4c9ed,0,NULL,0,NULL,NULL,NULL
01c5423a-b33e-4d01-898b-673953eb8f9c,1,100.00,0.00,#2110000000000245368,Risk,Delinquent
01eb30e4-56fa-4d37-aa95-28339f5c7e9f,0,NULL,0,NULL,NULL,NULL
01f1d14d-0a35-4934-b0c9-d5c004781b7c,0,NULL,0,NULL,NULL,NULL
020a031d-5463-486b-9f13-045bf3764af5,0,NULL,0,NULL,NULL,NULL
022d8ade-01b6-4091-94fc-b2608dcfbe53,0,NULL,0,NULL,NULL,NULL
02304697-395d-4e3b-913e-e01de1918a46,0,NULL,0,NULL,NULL,NULL
0239edde-fa48-446a-8c7d-c218228bc4d4,0,NULL,0,NULL,NULL,NULL
023fa49a-eb97-493c-ad23-00f1cb48732b,0,NULL,0,NULL,NULL,NULL
024e4308-3db8-4e40-a1ab-8a6b0e5d7c89,0,NULL,0,NULL,NULL,NULL
026414f6-db3d-4971-94ee-c7f35184f097,0,NULL,0,NULL,NULL,NULL
026fdac2-5ee4-4b8b-93a8-6f860ee91df6,0,NULL,0,NULL,NULL,NULL
0276b72f-83e5-4c36-868b-aa736a44958c,0,NULL,0,NULL,NULL,NULL
02812a31-02c9-4e41-a604-20a7b4b33f4e,0,NULL,0,NULL,NULL,NULL
0281ba7a-d50f-4f2f-a558-cbfc89c7a4db,0,NULL,0,NULL,NULL,NULL
02958275-4f7c-4113-9ff2-eaeccab405cd,0,NULL,0,NULL,NULL,NULL
02ccc458-8bcb-4db7-b975-102bdf117626,1,13000.00,9500.00,25-4,Active,Current
02d4f72f-ba89-4994-b158-fdf7cd109760,0,NULL,0,NULL,NULL,NULL
02e28785-3032-4a93-befc-183c314482d7,0,NULL,0,NULL,NULL,NULL
02ef04c6-e152-439c-8857-bc03b60b79b6,0,NULL,0,NULL,NULL,NULL
02f0b733-cd73-4bf1-9f60-77cde5cb66d1,0,NULL,0,NULL,NULL,NULL
02f282df-cb27-4b18-96c2-2ac6c0c7550c,0,NULL,0,NULL,NULL,NULL
02f932ed-ebee-4e91-90e4-310e3f254072,0,NULL,0,NULL,NULL,NULL
0318f5db-5246-447e-8f87-e44f6bb9b814,0,NULL,0,NULL,NULL,NULL
0329c5e8-c8b0-4cae-a98c-e94371fc3355,0,NULL,0,NULL,NULL,NULL
033aa301-4596-4694-a794-4bbb2e1c1ee0,0,NULL,0,NULL,NULL,NULL
